Abilify 2mg,165900323
Abilify 5mg,165900745
Abilify 10mg,499990598
Abilify 15mg,499990817
Abilify 20mg,242360991
Abilify 30mg,353560171
Acarbose 25mg *,422910130
Acarbose 50mg *,422910131
Acarbose 100mg *,422910132
Actos 15mg,510790513
Actos 30mg,510790514
Actos 45mg,510790515
Advair Diskus 100-50,548684518
Advair Diskus 250-50,548684517
Advair Diskus 500-50,548684516
Aggrenox 25-200,216950656
Albuterol sulfate 2.5mg/3ml (0.083%),216950332
Albuterol sulfate 1.5mg/3ml (0.05%),548685709
Albuterol sulfate 90mcg aerosol,504366050
Albuterol sulfate 108mcg aerosol,529590983
Alendronate 5mg,416160635
Alendronate 10mg,167140631
Alendronate 35mg,162520599
Alendronate 70mg,162520601
Allopurinol 100mg *,242360214
Allopurinol 300mg *,242360634
Amiodarone 100mg *,516724055
Amiodarone 200mg *,216950796
Amiodarone 400mg *,516724057
Amitriptyline 10mg *,165900011
Amitriptyline 25mg *,165900012
Amitriptyline 50mg *,105440110
Amitriptyline 75mg *,165900541
Amitriptyline 100mg *,165900437
Amlodipine Besylate 2.5mg,317220237
Amlodipine Besylate 5mg,317220238
Amlodipine Besylate 10mg,242360754
Aricept 5mg *,136680102
Aricept 10mg *,136680103
Aricept 23mg *,333420061
Aricept ODT 5mg *,333420029
Aricept ODT 10mg *,333420030
Aripiprazole 2mg,165900323
Aripiprazole 5mg,165900745
Aripiprazole 10mg,499990598
Aripiprazole 15mg,499990817
Aripiprazole 20mg,242360991
Aripiprazole 30mg,353560171
Asenapine Maleate 5mg,000520118
Asenapine Maleate 10mg,165900936
Aspirin and Dipyridamole 25-200,216950656
Aspirin 81mg *,504360127
Aspirin 325mg *,126340120
Atenolol 25mg *,165710430
Atenolol 50mg *,105440127
Atenolol 100mg *,165710441
Atorvastatin 10mg,332610959
Atorvastatin 20mg,332610972
Atorvastatin 40mg,353560929
Atorvastatin 80mg,422540267
Atrovent 0.02%,422540041
Avodart 0.5mg *,353560210
Baclofen 10mg *,167140071
Baclofen 20 mg *,332610011
Bactroban 2% *,165900158
Benazepril 5mg *,138110627
Benazepril 10mg *,138110628
Benazepril 20mg *,138110629
Benazepril 40mg *,138110630
Benztropine Mesylate 0.5mg *,242360015
Benztropine Mesylate 1mg *,317220219
Benztropine Mesylate 2mg *,317220220
Brimonidine 1.5mg/ml *,548686094
Brimonidine 2mg/ml *,165900883
Budesonide 0.25mg/2ml *,548683423
Budesonide 0.5mg/2ml *,548683550
Bupropion 75mg *,165900037
Bupropion 100mg*,504369101
Bupropion SR 100mg,548685377
Bupropion SR 150mg,646790105
Bupropion SR 200mg,548686306
Bupropion XL 150mg,216950279
Bupropion XL 300mg,216950578
Buspirone 5mg *,216950256
